category,product_type,what_it_is,who_its_for,key_benefit,available_how
Core,Conventional Purchase,Standard mortgage for buying a home with competitive rates and terms,Buyers with solid credit and income documentation,Most flexible terms and lowest rates for qualified borrowers,Funded in-house
Core,Conventional Refinance,Replace your current mortgage with a better rate or shorter term,Homeowners looking to lower their payment or pay off faster,Save money monthly or over the life of the loan,Funded in-house
Core,FHA,Government-backed loan with lower credit and down payment requirements,First-time buyers or those with limited savings and lower credit scores,Get into a home with as little as 3.5% down,Funded in-house
Core,VA,Zero-down mortgage for military veterans and active-duty service members,Active military / veterans / eligible surviving spouses,No down payment and no PMI,Funded in-house
Core,Jumbo,Financing above standard conforming loan limits for higher-value properties,Buyers purchasing above conforming limits,Access to premium properties with competitive rates,In-house at Movement
Non-QM,Bank Statement Loans,Qualify using bank deposits instead of tax returns,Self-employed borrowers whose tax returns understate their actual income,No tax returns needed — we look at your real cash flow,Movement program shelf
Non-QM,DSCR / Investor Loans,Qualify based on the rental property income not your personal income,Real estate investors building or expanding rental portfolios,Your personal income doesnt matter — the property qualifies itself,Movement program shelf
Non-QM,ITIN Loans,Mortgage options for borrowers with an Individual Taxpayer ID Number,Non-citizen borrowers who file taxes with an ITIN,Homeownership access without a Social Security Number,Movement program shelf
Non-QM,Asset-Based / No-Income,Qualify using liquid assets rather than employment income,Retirees or high-net-worth individuals without traditional W2 income,Your assets work as your income,Movement program shelf
Non-QM,Doctor / Professional Loans,Special programs designed for medical professionals,Physicians and dentists with high student loan balances,Student debt treated differently — often more favorable qualification,Movement program shelf
Specialty,Construction and Renovation,Finance new construction or major renovations in one loan,Buyers building new or doing major rehab on a purchase,One loan covers purchase plus construction or renovation costs,Movement program shelf
Specialty,Bridge Loans,Short-term financing to buy your next home before selling your current one,Homeowners who need to purchase before their current home sells,Buy first — sell later — without juggling two mortgages,Movement program shelf
Specialty,Manufactured Homes,Financing for manufactured and modular homes on land or in parks,Manufactured home buyers including chattel and park homes,More options than most lenders offer for manufactured housing,In-house at Movement
Specialty,Reverse Mortgage (HECM),Access home equity without monthly payments for homeowners 62+,Homeowners 62 and older who want to tap equity or eliminate payments,No monthly mortgage payments — you stay in your home,Movement program shelf
Equity,Cash-Out Refinance,Replace mortgage with larger one and receive equity difference in cash,Homeowners who want to access built-up equity for any purpose,Turn home equity into capital at mortgage rates,In-house at Movement
Equity,HELOC,Revolving credit line secured by your home — draw as needed,Homeowners wanting flexible ongoing access to their equity,Only pay interest on what you actually use,Movement program shelf
Equity,Home Equity Loan / 2nd Mortgage,Fixed-rate lump sum secured by home as a second lien,Homeowners wanting a specific amount at a fixed rate without refinancing,Fixed rate and payment — keeps your existing mortgage intact,Movement program shelf
Assistance,Down Payment Assistance (DPA),Programs that help cover your down payment and closing costs,First-time buyers who need help with upfront costs,Grants or forgivable loans that reduce what you bring to closing,Movement program shelf + state programs
Government,Oregon VA (ODVA),Oregon-specific state veteran loan program,Oregon veterans,State-level benefits that may differ from federal VA,Through ODVA
Government,USDA,Zero-down financing for homes in eligible rural and suburban areas,Buyers in eligible areas outside major metro centers,Zero down payment with low mortgage insurance,Funded in-house
